zip_code,avg_household_size_adj,pct_below_poverty_level,pct age>65,interaction,case_per_100k,Predicted Y,residuals,latitude,longitude
11232,1.900172492,21.6,8.014,173.1005,1641.185421,2233.736771,-592.5513496,40.655827,-74.006829
11233,1.570139717,28.1,11.021,309.6819797,1502.232521,2071.502801,-569.27028,40.678089,-73.919867
11234,1.998815455,8,16.833,134.6601718,2189.910731,2505.914562,-316.0038309,40.61254,-73.894255
11235,1.380806037,19.4,23.504,455.9725067,2385.828384,2373.625716,12.20266798,40.583552,-73.9479
11236,1.966934078,12.8,13.561,173.5822428,2465.838076,2295.550507,170.2875691,40.639761,-73.90064
11237,1.859856631,29.9,6.725,201.0715879,1719.732306,2143.472824,-423.740518,40.70416,-73.921139
11238,1.174338208,13,12.182,158.3645031,1268.793546,1416.569242,-147.7756963,40.678424,-73.963874
11239,0.946210822,28.5,28.979,825.9060707,3495.922682,2507.325142,988.5975399,40.644728,-73.879186
11354,1.656426014,20,20.279,405.5797101,1811.594203,2527.047126,-715.4529231,40.768208,-73.827403
11355,1.916396436,22.6,17.617,398.1477496,1413.676672,2592.331749,-1178.655077,40.750123,-73.820977
11356,2.13080102,12.3,12.995,159.8441914,2161.629997,2527.158883,-365.5288852,40.78481,-73.841165
11357,1.736145367,6,21.656,129.9333367,1894.641873,2386.467888,-491.826015,40.786415,-73.810924
11358,1.848669683,9.9,19.183,189.907502,1382.09196,2437.95904,-1055.86708,40.760467,-73.796418
11360,1.28,8.1,26.961,218.3833648,1493.297997,2253.760803,-760.4628058,40.782352,-73.780749
11361,1.668966687,8.7,19.265,167.6073552,1504.808045,2265.308166,-760.5001212,40.76437,-73.771869
11362,1.58392952,6,25.827,154.959671,1543.720955,2471.286054,-927.5650993,40.758401,-73.73342
11363,1.614723788,5.9,21.562,127.2166283,1380.897583,2297.487701,-916.5901172,40.772591,-73.746472
11364,1.709409031,8.2,18.195,149.202304,1198.174211,2259.607996,-1061.433785,40.74562,-73.757537
11365,1.884668294,11.9,14.823,176.3981949,1689.527155,2328.838256,-639.3111016,40.738856,-73.792528
11366,2.124111807,12,17.072,204.8600683,2450.511945,2668.348673,-217.836728,40.727929,-73.793074
11367,1.8,14.2,15.965,226.6961553,2252.295333,2338.5462,-86.25086763,40.730621,-73.82286
11368,2.916338503,20.2,8.645,174.6264621,3605.959529,3010.987924,594.9716043,40.749407,-73.85278
11369,2.217180882,15.5,15.379,238.374172,4226.508002,2643.157029,1583.350973,40.763513,-73.871961
11370,2.17109721,13.2,12.505,165.0710463,3862.951344,2423.078298,1439.873046,40.76537,-73.893132
11372,1.580631561,12.1,15.588,188.6100511,3722.268935,1579.637069,2142.631866,40.751706,-73.883561
11373,2.091207198,15.6,13.555,211.4542339,3147.913629,2212.975443,934.9381861,40.737347,-73.878716
11374,1.198127318,13.3,21.091,280.512039,2325.744965,1848.442675,477.3022905,40.726219,-73.861264
11375,1.225898895,9.1,20.137,183.2432506,1930.927498,1822.685919,108.2415789,40.722975,-73.843179
11377,1.738292994,11.2,15.164,169.8383495,2278.381412,2067.357175,211.0242367,40.744813,-73.905122
11378,1.937530943,9.5,12.608,119.7725261,1810.670887,2243.008589,-432.3377017,40.724744,-73.909639
11379,1.7760234,8.5,17.590,149.5152044,1968.243904,2284.600024,-316.3561199,40.715488,-73.87949
11385,2.032463133,11.3,10.405,117.5775181,1837.570396,2172.870837,-335.3004409,40.700671,-73.889433
11411,2.30754386,4.2,19.168,80.50387784,3054.097018,2757.180487,296.9165315,40.694307,-73.735948
11412,2.386992481,8.3,14.699,122.0027764,3110.150035,2703.940744,406.2092907,40.696878,-73.76026
11413,2.415788281,7.9,16.300,128.7661098,2874.443371,2862.078038,12.36533295,40.669293,-73.750553
11414,1.73,11.6,21.972,254.8752524,2611.314556,2550.842439,60.47211643,40.658217,-73.84482
11415,1.308221745,12.3,15.935,196.0050588,2508.775552,1734.269982,774.5055702,40.708229,-73.827867
11416,2.747776084,15.2,10.249,155.7824885,2366.820276,2851.423565,-484.6032886,40.684614,-73.849509
11417,2.52057947,14.2,12.457,176.8828891,2562.094779,2813.802156,-251.7073777,40.676342,-73.844595
11418,2.483639605,14.7,11.312,166.2847574,2549.523587,2767.414658,-217.8910712,40.700101,-73.835908
11419,2.972206908,13.4,11.502,154.1251159,2152.444677,2974.962598,-822.5179208,40.688685,-73.822882
11420,2.677767308,12.1,11.737,142.0138588,2577.904267,2922.003189,-344.0989223,40.673525,-73.817771
11421,2.519914075,10.3,12.631,130.100239,2682.795961,2674.008253,8.787708579,40.693633,-73.858513
11422,2.320773853,7.3,12.961,94.61193192,2820.896453,2663.256101,157.6403519,40.63203,-73.766051
11423,2.161021764,9.1,15.185,138.1808917,3162.420382,2530.260104,632.1602779,40.717252,-73.768879
11426,2.260818125,7.5,15.398,115.4872362,2297.966444,2666.129404,-368.1629602,40.736619,-73.72361
11427,2.085872,8.5,16.196,137.66485,2987.061613,2521.934839,465.1267739,40.729722,-73.7498
11428,2.40293271,8.4,15.162,127.3601352,3301.812034,2692.943328,608.868706,40.72105,-73.742212
11429,2.713188011,8.8,14.462,127.264898,3182.133343,3011.429671,170.7036725,40.709681,-73.738399
11432,2.097876206,14.9,13.983,208.3497978,2617.117625,2503.241529,113.8760958,40.71522,-73.793188
11433,2.453427132,17.1,12.248,209.4327057,2332.209707,2888.582933,-556.3732258,40.698135,-73.787009
11434,1.959633771,11.2,15.166,169.8615312,2843.854023,2383.849072,460.0049511,40.676808,-73.776425
11435,2.075609834,15.8,11.908,188.1472612,2509.444145,2330.200373,179.2437717,40.701408,-73.809817
11436,2.548509228,11.1,10.524,116.8217363,2405.737909,2710.969368,-305.231459,40.675266,-73.79657
11691,2.122734777,21.4,12.395,265.2433899,3064.357469,2721.929186,342.4282829,40.600774,-73.757824
11692,1.948394718,25.4,12.224,310.4968796,2572.531085,2626.76458,-54.23349509,40.593163,-73.793803
11693,1.605898865,14,12.300,172.1959904,2329.901695,2066.421049,263.4806457,40.611082,-73.822757
11694,1.355801842,9.9,20.455,202.506322,3039.243233,2055.942406,983.3008273,40.576906,-73.846381
11697,1.585897436,3.1,25.395,78.7259887,2429.378531,2419.458339,9.92019231,40.555681,-73.920688
